Id,Label,timeset,lat,lng,provinz,background_map_node
"Jülich / Iuliacum,Jülich / Iuliacum,""<[244.0, 249.0]>"",50.9214,6.3622,Germania inferior,"
"Kaiseraugst / Castrum Rauracense,Kaiseraugst / Castrum Rauracense,""<[284.0, 305.0]>"",47.5408,7.7248,Germania superior,"
"Kapersburg,Kapersburg,""<[249.0, 250.0]>"",50.3528,8.6733,Germania superior,"
"Karpellen-Stolzenfels,Karpellen-Stolzenfels,""<[44.0, 45.0]>"",50.2903,7.5846,Germania superior,"
"Katwijk aan Zee / Lugdunum,Katwijk aan Zee / Lugdunum,""<[205.0, 222.0]>"",52.2,4.4175,Germania inferior,"
"Kauffenheim,Kauffenheim,""<[250.0, 250.0]>"",48.8733,7.8831,Germania superior,"
"Kleestadt,Kleestadt,""<[235.0, 238.0]>"",49.8764,8.8892,Germania superior,"
"Koblenz / Confluentes,Koblenz / Confluentes,""<[44.0, 97.0]>"",50.3569,7.5882,Germania superior,"
"Koblenz-CH,Koblenz-CH,""<[371.0, 371.0]>"",47.6107,8.2391,Germania superior,"
"Köln / Colonia Claudia Ara Agrippinensium,Köln / CCAA,""<[14.0, 393.0]>"",50.9375,6.9603,Germania inferior,"
"Köngen / Grinario,Köngen / Grinario,""<[129.0, 129.0]>"",48.682,9.3685,Germania superior,"
"Krefeld / Gelduba,Krefeld / Gelduba,""<[268.0, 268.0]>"",51.3392,6.5581,Germania inferior,"
"La Sarraz,La Sarraz,""<[119.0, 138.0]>"",46.6569,6.508,Germania superior,"
"La Tour-de-Peilz,La Tour-de-Peilz,""<[306.0, 307.0]>"",46.4532,6.8596,Germania superior,"
"Ladenburg / Lopodunum,Ladenburg / Lopodunum,""<[195.0, 260.0]>"",49.4734,8.6068,Germania superior,"
"Langres / Andematunum,Langres / Andematunum,""<[1.0, 209.0]>"",47.863,5.3337,Belgica | Germania superior  ,"
"Lausanne / Lousonna,Lausanne / Lousonna,""<[1.0, 100.0]>"",46.5197,6.6336,Germania superior,"
"Lavigny-Ch,Lavigny-Ch,""<[239.0, 240.0]>"",46.5208,6.3753,Germania superior,"
"Lent / Noviomagus Batavorum,Lent / Noviomagus Batavorum,""<[224.0, 235.0]>"",51.8442,5.862,Germania inferior,"
"Lessenich,Lessenich,""<[151.0, 250.0]>"",50.7472,6.8997,Germania inferior,"
"Lingenfeld,Lingenfeld,""<[193.0, 211.0]>"",49.2671,8.3348,Germania superior,"
"Mainz / Mogontiacum,Mainz / Mogontiacum,""<[1.0, 305.0]>"",50,8.2711,Germania superior,"
"Mainz-Kastel / Mogontiacum,Mainz-Kastel / Mogontiacum,""<[121.0, 122.0]>"",50.0133,8.2764,Germania superior,"
"Mandeure / Epamanduodurum,Mandeure / Epamanduodurum,""<[98.0, 98.0]>"",47.4781,6.8024,Germania superior,"
"Mathay / Epamantadurum,Mathay / Epamantadurum,""<[98.0, 138.0]>"",47.4826,6.7929,Germania superior,"
"Montagny-la-Ville,Montagny-la-Ville,""<[213.0, 213.0]>"",46.6913,7.0671,Germania superior,"
"Mumpf,Mumpf,""<[138.0, 138.0]>"",47.5538,7.9504,Germania superior,"
"Murrhardt,Murrhardt,""<[218.0, 235.0]>"",48.9807,9.5735,Germania superior,"
"Naaldwijk,Naaldwijk,""<[162.0, 162.0]>"",51.9925,4.2119,Germania inferior,"
"Neckarburken,Neckarburken,""<[145.0, 200.0]>"",49.3681,9.1308,Germania superior  ,"
"Nettersheim,Nettersheim,""<[161.0, 353.0]>"",50.5414,6.6533,Germania inferior,"
"Neuss / Novaesium,Neuss / Novaesium,""<[1.0, 100.0]>"",51.1966,6.6903,Germania inferior,"
"Niederbieber,Niederbieber,""<[191.0, 260.0]>"",50.4516,7.4944,Germania superior  ,"
"Niederursel / Nida,Niederursel / Nida,""<[161.0, 235.0]>"",50.1591,8.6406,Germania superior  ,"
"Nieukerk / Kerken-Nieukerk,Nieukerk / Kerken-Nieukerk,""<[180.0, 192.0]>"",51.4836,6.3884,Germania inferior,"
"Nijmegen / Noviomagus Batavorum,Nijmegen / Noviomagus Batavorum,""<[9.0, 10.0]>"",51.8457,5.8622,Germania inferior,"
"Nottingen,Nottingen,""<[216.0, 235.0]>"",48.8974,8.6192,Germania superior  ,"
"Nyon / Colonia Iulia Equestris / Noviodunum,Nyon / CIE / Noviodunum,""<[-27.0, 247.0]>"",46.3827,6.2397,Germania superior  ,"
"Obernburg am Main,Obernburg am Main,""<[189.0, 189.0]>"",49.8362,9.1307,Germania superior  ,"
"Offenburg,Offenburg,""<[74.0, 74.0]>"",48.4723,7.9465,Germania superior  ,"
"Öhringen / Vicus Aurelius,Öhringen / Vicus Aurelius,""<[175.0, 238.0]>"",49.201,9.507,Germania superior  ,"
