Id,Label,timeset,lat,lng,provinz,background_map_node
bckm_3118,,,55.891939,-79.195267,,true
bckm_3117,,,56.284998,-78.943329,,true
bckm_3116,,,56.419443,-78.924713,,true
bckm_3115,,,56.426943,-79.021666,,true
bckm_3114,,,56.541384,-61.435829,,true
bckm_3113,,,56.486383,-61.642227,,true
bckm_3112,,,56.441103,-61.148888,,true
bckm_3111,,,56.541384,-61.435829,,true
bckm_3110,,,56.385271,-79.619995,,true
bckm_3109,,,56.527773,-79.543335,,true
bckm_3108,,,56.197771,-80.109726,,true
bckm_3107,,,56.385271,-79.619995,,true
bckm_3106,,,56.129992,-78.839996,,true
bckm_3105,,,56.181108,-78.676392,,true
bckm_3104,,,56.439714,-78.667221,,true
bckm_3103,,,56.129992,-78.839996,,true
bckm_3102,,,56.399996,-61.623611,,true
bckm_3101,,,56.41305,-61.796112,,true
bckm_3100,,,56.326662,-61.412216,,true
bckm_3099,,,56.399996,-61.623611,,true
bckm_3098,,,56.006662,-60.943329,,true
bckm_3097,,,56.169992,-61.089165,,true
bckm_3096,,,56.091105,-61.232773,,true
bckm_3095,,,56.006662,-60.943329,,true
bckm_3094,,,55.789995,-79.123047,,true
bckm_3093,,,56.02527,-78.939713,,true
bckm_3092,,,56.083605,-78.957504,,true
bckm_3091,,,55.789995,-79.123047,,true
bckm_3090,,,55.864717,-60.858612,,true
bckm_3089,,,55.921938,-60.686386,,true
bckm_3088,,,55.952776,-60.865004,,true
bckm_3087,,,55.864717,-60.858612,,true
bckm_3086,,,55.86944,-60.970833,,true
bckm_3085,,,55.898333,-60.908333,,true
bckm_3084,,,55.938601,-61.070557,,true
bckm_3083,,,55.86944,-60.970833,,true
bckm_3082,,,55.435266,-77.592773,,true
bckm_3081,,,55.65027,-77.199997,,true
bckm_3080,,,55.425829,-77.644165,,true
bckm_3079,,,55.435266,-77.592773,,true
bckm_3078,,,55.263613,-82.964722,,true
bckm_3077,,,55.278879,-82.980835,,true
bckm_3076,,,55.278879,-83.035278,,true
bckm_3075,,,55.263613,-82.964722,,true
bckm_3074,,,54.769991,-130.385284,,true
bckm_3073,,,55.019716,-130.168335,,true
bckm_3072,,,54.828333,-130.459991,,true
bckm_3071,,,54.769991,-130.385284,,true
bckm_3070,,,54.914156,-58.675278,,true
bckm_3069,,,55.008608,-58.660278,,true
bckm_3068,,,54.920549,-58.760559,,true
bckm_3067,,,54.914156,-58.675278,,true
bckm_3066,,,54.897219,-79.125824,,true
bckm_3065,,,54.938326,-79.015015,,true
bckm_3064,,,54.778048,-79.776947,,true
bckm_3063,,,54.897219,-79.125824,,true
bckm_3062,,,54.911936,-57.940834,,true
bckm_3061,,,54.835268,-58.224716,,true
bckm_3060,,,54.812494,-57.841667,,true
bckm_3059,,,54.911936,-57.940834,,true
bckm_3058,,,54.714998,-130.268341,,true
bckm_3057,,,54.807772,-130.209442,,true
bckm_3056,,,54.695269,-130.378876,,true
bckm_3055,,,54.714998,-130.268341,,true
bckm_3054,,,54.702494,-130.518341,,true
bckm_3053,,,54.807772,-130.469452,,true
bckm_3052,,,54.758051,-130.611664,,true
bckm_3051,,,54.702494,-130.518341,,true
bckm_3050,,,54.763887,-79.667221,,true
bckm_3049,,,54.799166,-79.587219,,true
bckm_3048,,,54.752497,-79.726944,,true
bckm_3047,,,54.763887,-79.667221,,true
bckm_3046,,,54.454714,-130.95166,,true
bckm_3045,,,54.626101,-130.747772,,true
bckm_3044,,,54.61944,-130.925568,,true
bckm_3043,,,54.454714,-130.95166,,true
bckm_3042,,,54.49888,-57.324722,,true
bckm_3041,,,54.517771,-57.24028,,true
bckm_3040,,,54.58555,-57.26722,,true
bckm_3039,,,54.49888,-57.324722,,true
bckm_3038,,,54.356661,-130.704163,,true
bckm_3037,,,54.406656,-130.699432,,true
bckm_3036,,,54.384996,-130.767792,,true
bckm_3035,,,54.356661,-130.704163,,true
bckm_3034,,,54.260553,-130.266418,,true
bckm_3033,,,54.329721,-130.272797,,true
bckm_3032,,,54.305552,-130.350281,,true
bckm_3031,,,54.260553,-130.266418,,true
bckm_3030,,,54.257776,-130.35556,,true
bckm_3029,,,54.326387,-130.417786,,true
bckm_3028,,,54.308603,-130.467224,,true
bckm_3027,,,54.257776,-130.35556,,true
bckm_3026,,,54.114443,-130.648621,,true
bckm_3025,,,54.211664,-130.781677,,true
bckm_3024,,,54.149996,-130.785004,,true
bckm_3023,,,54.114443,-130.648621,,true
bckm_3022,,,54.167498,-79.469727,,true
bckm_3021,,,54.19166,-79.413055,,true
bckm_3020,,,54.191378,-79.475555,,true
bckm_3019,,,54.167498,-79.469727,,true
bckm_3018,,,54.118052,-130.195557,,true
bckm_3017,,,54.154436,-130.151947,,true
bckm_3016,,,54.185549,-130.252808,,true
bckm_3015,,,54.118052,-130.195557,,true
bckm_3014,,,54.120272,-132.808044,,true
bckm_3013,,,54.168886,-133.071655,,true
bckm_3012,,,53.555826,-132.972504,,true
bckm_3011,,,53.339716,-132.406677,,true
bckm_3010,,,53.337214,-132.733887,,true
bckm_3009,,,53.330553,-132.543335,,true
bckm_3008,,,53.256662,-132.683624,,true
bckm_3007,,,53.247492,-132.596649,,true
bckm_3006,,,53.178881,-132.536682,,true
bckm_3005,,,53.145273,-132.457489,,true
bckm_3004,,,53.160547,-132.186951,,true
bckm_3003,,,53.189432,-132.121918,,true
bckm_3002,,,53.210276,-132.272797,,true
bckm_3001,,,53.251665,-131.982208,,true
bckm_3000,,,54.152216,-131.663055,,true
bckm_2999,,,53.606104,-132.41806,,true
bckm_2998,,,53.679438,-132.66333,,true
bckm_2997,,,53.992769,-132.150299,,true
bckm_2996,,,54.120272,-132.808044,,true
bckm_2995,,,54.051661,-58.518333,,true
bckm_2994,,,54.104166,-58.373886,,true
bckm_2993,,,54.063883,-58.561386,,true
bckm_2992,,,54.051661,-58.518333,,true
bckm_2991,,,54.004717,-130.259186,,true
bckm_2990,,,54.100832,-130.411133,,true
bckm_2989,,,53.861109,-130.712769,,true
bckm_2988,,,54.004717,-130.259186,,true
bckm_2987,,,53.989161,-130.14975,,true
bckm_2986,,,54.049997,-130.132477,,true
bckm_2985,,,54.079721,-130.193604,,true
bckm_2984,,,53.989161,-130.14975,,true
bckm_2983,,,53.906382,-79.864166,,true
bckm_2982,,,53.935266,-79.926392,,true
bckm_2981,,,53.913881,-79.906113,,true
bckm_2980,,,53.906382,-79.864166,,true
bckm_2979,,,53.724161,-129.826111,,true
bckm_2978,,,53.837496,-130.286407,,true
bckm_2977,,,53.639605,-129.928207,,true
bckm_2976,,,53.603884,-130.056395,,true
bckm_2975,,,53.579721,-129.883911,,true
bckm_2974,,,53.384165,-129.80722,,true
bckm_2973,,,53.216661,-129.506683,,true
bckm_2972,,,53.724161,-129.826111,,true
bckm_2971,,,53.569445,-130.091095,,true
bckm_2970,,,53.796389,-130.261688,,true
bckm_2969,,,53.682497,-130.403351,,true
bckm_2968,,,53.569445,-130.091095,,true
bckm_2967,,,53.765001,-56.867218,,true
bckm_2966,,,53.792498,-56.844444,,true
bckm_2965,,,53.785555,-57.01445,,true
bckm_2964,,,53.765001,-56.867218,,true
bckm_2963,,,53.4461,-129.086395,,true
bckm_2962,,,53.504999,-129.085541,,true
bckm_2961,,,53.709162,-128.818878,,true
bckm_2960,,,53.638605,-129.153076,,true
bckm_2959,,,53.4461,-129.086395,,true
bckm_2958,,,53.392771,-129.879425,,true
bckm_2957,,,53.624712,-130.520294,,true
bckm_2956,,,53.158884,-129.762238,,true
bckm_2955,,,53.392771,-129.879425,,true
bckm_2954,,,53.484163,-129.934723,,true
bckm_2953,,,53.542223,-129.886688,,true
bckm_2952,,,53.551104,-129.941956,,true
bckm_2951,,,53.505274,-130.021118,,true
bckm_2950,,,53.484163,-129.934723,,true
bckm_2949,,,53.508051,-79.709732,,true
bckm_2948,,,53.546106,-79.761398,,true
bckm_2947,,,53.531664,-79.773621,,true
bckm_2946,,,53.508051,-79.709732,,true
bckm_2945,,,53.317499,-128.942505,,true
bckm_2944,,,53.38666,-128.901123,,true
bckm_2943,,,53.539438,-128.99942,,true
bckm_2942,,,53.349718,-129.143341,,true
bckm_2941,,,53.317499,-128.942505,,true
bckm_2940,,,53.394159,-55.787506,,true
bckm_2939,,,53.455271,-55.729164,,true
bckm_2938,,,53.459162,-55.979164,,true
bckm_2937,,,53.394159,-55.787506,,true
bckm_2936,,,53.304163,-129.358337,,true
bckm_2935,,,53.33111,-129.303345,,true
bckm_2934,,,53.410822,-129.39502,,true
bckm_2933,,,53.304163,-129.358337,,true
bckm_2932,,,53.266939,-79.942764,,true
bckm_2931,,,53.368052,-79.944717,,true
bckm_2930,,,53.326944,-80.085281,,true
bckm_2929,,,53.266939,-79.942764,,true
bckm_2928,,,53.09833,-129.153076,,true
bckm_2927,,,53.296106,-129.16861,,true
bckm_2926,,,53.331942,-129.268066,,true
bckm_2925,,,53.137499,-129.332489,,true
bckm_2924,,,53.09833,-129.153076,,true
bckm_2923,,,53.289721,-55.778053,,true
bckm_2922,,,53.303606,-55.785004,,true
bckm_2921,,,53.295549,-55.797226,,true
bckm_2920,,,53.289721,-55.778053,,true
bckm_2919,,,53.164438,-128.689453,,true
bckm_2918,,,53.300829,-129.06665,,true
bckm_2917,,,53.103052,-129.075287,,true
bckm_2916,,,53.01333,-129.191376,,true
bckm_2915,,,53.044161,-128.843597,,true
bckm_2914,,,52.863054,-129.121918,,true
bckm_2913,,,52.64805,-128.88446,,true
bckm_2912,,,52.963327,-128.646973,,true
bckm_2911,,,52.597216,-128.748871,,true
bckm_2910,,,52.613886,-128.592224,,true
bckm_2909,,,52.911104,-128.518341,,true
bckm_2908,,,53.164438,-128.689453,,true
bckm_2907,,,53.196657,-131.762238,,true
bckm_2906,,,53.253611,-131.811127,,true
bckm_2905,,,53.153879,-132.070831,,true
bckm_2904,,,53.127489,-132.413635,,true
bckm_2903,,,53.151102,-132.549164,,true
bckm_2902,,,53.139162,-132.563629,,true
bckm_2901,,,52.173883,-131.030304,,true
bckm_2900,,,52.879717,-131.982483,,true
bckm_2899,,,52.920275,-131.61554,,true
bckm_2898,,,53.046389,-131.964722,,true
bckm_2897,,,53.035273,-131.594727,,true
bckm_2896,,,53.196657,-131.762238,,true
bckm_2895,,,53.199717,-81.10611,,true
bckm_2894,,,53.026659,-82.063324,,true
bckm_2893,,,52.6961,-80.699722,,true
bckm_2892,,,53.199717,-81.10611,,true
bckm_2891,,,53.081942,-79.909164,,true
bckm_2890,,,53.101938,-79.787216,,true
bckm_2889,,,53.17444,-79.897781,,true
bckm_2888,,,53.081942,-79.909164,,true
bckm_2887,,,53.151384,-129.432495,,true
bckm_2886,,,53.133051,-129.547241,,true
bckm_2885,,,52.971933,-129.289459,,true
bckm_2884,,,53.151384,-129.432495,,true
bckm_2883,,,53.057215,-129.602478,,true
bckm_2882,,,53.132769,-129.654449,,true
bckm_2881,,,53.127214,-129.738312,,true
bckm_2880,,,53.057215,-129.602478,,true
bckm_2879,,,53.029436,-55.763062,,true
bckm_2878,,,53.093607,-55.800552,,true
bckm_2877,,,53.027491,-55.876389,,true
bckm_2876,,,53.029436,-55.763062,,true
bckm_2875,,,53.010553,-129.531677,,true
bckm_2874,,,53.053049,-129.562775,,true
bckm_2873,,,53.044161,-129.640015,,true
bckm_2872,,,53.010553,-129.531677,,true
bckm_2871,,,52.954996,-129.610535,,true
bckm_2870,,,53.006662,-129.557495,,true
bckm_2869,,,53.018885,-129.650848,,true
bckm_2868,,,52.954996,-129.610535,,true
bckm_2867,,,52.641108,-128.50528,,true
bckm_2866,,,52.805269,-128.450836,,true
bckm_2865,,,52.873049,-128.506134,,true
bckm_2864,,,52.641108,-128.50528,,true
bckm_2863,,,52.828051,-131.63974,,true
bckm_2862,,,52.841936,-131.83139,,true
bckm_2861,,,52.808603,-131.733063,,true
bckm_2860,,,52.828051,-131.63974,,true
bckm_2859,,,52.596941,-128.269745,,true
bckm_2858,,,52.826105,-128.177795,,true
bckm_2857,,,52.776102,-128.325012,,true
bckm_2856,,,52.596941,-128.269745,,true
bckm_2855,,,52.453325,-128.974426,,true
bckm_2854,,,52.606661,-128.92334,,true
bckm_2853,,,52.823053,-129.277222,,true
bckm_2852,,,52.453325,-128.974426,,true
bckm_2851,,,52.368052,-128.430298,,true
bckm_2850,,,52.489992,-128.275024,,true
bckm_2849,,,52.797495,-128.383331,,true
bckm_2848,,,52.368052,-128.430298,,true
bckm_2847,,,52.627489,-131.464447,,true
bckm_2846,,,52.736658,-131.475281,,true
bckm_2845,,,52.705271,-131.709717,,true
bckm_2844,,,52.627489,-131.464447,,true
bckm_2843,,,52.492769,-128.471924,,true
bckm_2842,,,52.647219,-128.535278,,true
bckm_2841,,,52.593645,-128.578186,,true
bckm_2840,,,52.590548,-128.732483,,true
bckm_2839,,,52.524996,-128.813904,,true
bckm_2838,,,52.492769,-128.471924,,true
bckm_2837,,,52.26639,-128.66861,,true
bckm_2836,,,52.453608,-128.615814,,true
bckm_2835,,,52.471659,-128.747223,,true
bckm_2834,,,52.26639,-128.66861,,true
bckm_2833,,,52.278605,-128.184448,,true
bckm_2832,,,52.328882,-128.056671,,true
bckm_2831,,,52.421381,-128.104431,,true
bckm_2830,,,52.278605,-128.184448,,true
bckm_2829,,,51.976938,-127.724442,,true
bckm_2828,,,52.416941,-127.234734,,true
bckm_2827,,,52.221933,-127.789169,,true
bckm_2826,,,51.976938,-127.724442,,true
bckm_2825,,,52.249163,-81.476944,,true
bckm_2824,,,52.298052,-81.551666,,true
bckm_2823,,,52.262499,-81.710007,,true
bckm_2822,,,52.249163,-81.476944,,true
bckm_2821,,,52.174166,-127.924713,,true
bckm_2820,,,52.295275,-127.972778,,true
bckm_2819,,,52.24972,-128.170013,,true
bckm_2818,,,52.174166,-127.924713,,true
bckm_2817,,,52.137499,-128.428345,,true
bckm_2816,,,52.226381,-128.416412,,true
bckm_2815,,,52.169992,-128.511139,,true
bckm_2814,,,52.137499,-128.428345,,true
bckm_2813,,,52.133608,-128.299988,,true
bckm_2812,,,52.218882,-128.227203,,true
bckm_2811,,,52.223879,-128.377197,,true
bckm_2810,,,52.133608,-128.299988,,true
bckm_2809,,,52.015551,-128.211945,,true
bckm_2808,,,52.195269,-128.153076,,true
bckm_2807,,,52.113611,-128.294159,,true
bckm_2806,,,52.015551,-128.211945,,true
bckm_2805,,,52.074717,-127.962784,,true
bckm_2804,,,52.17222,-127.881104,,true
bckm_2803,,,52.141939,-128.120819,,true
bckm_2802,,,52.074717,-127.962784,,true
bckm_2801,,,51.9461,-131.01889,,true
bckm_2800,,,52.102777,-131.00946,,true
bckm_2799,,,52.151102,-131.11026,,true
bckm_2798,,,51.9461,-131.01889,,true
bckm_2797,,,52.071383,-79.252792,,true
bckm_2796,,,51.986658,-79.654175,,true
bckm_2795,,,51.936106,-79.376663,,true
bckm_2794,,,52.071383,-79.252792,,true
bckm_2793,,,51.753611,-128.053894,,true
bckm_2792,,,52.061937,-127.983322,,true
bckm_2791,,,51.872217,-128.253082,,true
bckm_2790,,,51.753611,-128.053894,,true
bckm_2789,,,51.874163,-55.3675,,true
bckm_2788,,,52.000551,-55.269997,,true
bckm_2787,,,51.896662,-55.430557,,true
bckm_2786,,,51.874163,-55.3675,,true
bckm_2785,,,51.410822,-127.914436,,true
bckm_2784,,,51.720545,-128,,true
bckm_2783,,,51.653605,-128.145569,,true
bckm_2782,,,51.410822,-127.914436,,true
bckm_2781,,,49.066103,-58.342224,,true
bckm_2780,,,49.065828,-58.35611,,true
bckm_2779,,,49.077776,-58.333611,,true
bckm_2778,,,49.066103,-58.342224,,true
bckm_2777,,,51.200274,-55.993889,,true
bckm_2776,,,51.207499,-55.998055,,true
bckm_2775,,,51.226656,-55.967773,,true
bckm_2774,,,51.200274,-55.993889,,true
bckm_2773,,,49.76333,-56.803612,,true
bckm_2772,,,49.767496,-56.838051,,true
bckm_2771,,,49.786943,-56.782219,,true
bckm_2770,,,49.76333,-56.803612,,true
bckm_2769,,,48.503263,-53.756367,,true
bckm_2768,,,48.543886,-53.956108,,true
bckm_2767,,,48.689714,-53.601944,,true
bckm_2766,,,48.812212,-54.096106,,true
bckm_2765,,,49.220545,-53.488609,,true
bckm_2764,,,49.396105,-53.775002,,true
bckm_2763,,,49.259722,-54.486946,,true
bckm_2762,,,49.533335,-54.528885,,true
bckm_2761,,,49.269159,-54.824448,,true
bckm_2760,,,49.356943,-55.078056,,true
bckm_2759,,,49.040834,-55.383331,,true
bckm_2758,,,49.545275,-55.141113,,true
bckm_2757,,,49.31444,-55.315277,,true
bckm_2756,,,49.425554,-56.129166,,true
bckm_2755,,,50.007311,-55.491699,,true
bckm_2754,,,50.150545,-56.153885,,true
bckm_2753,,,49.544443,-56.848885,,true
bckm_2752,,,50.885553,-56.155273,,true
bckm_2751,,,51.079996,-55.732498,,true
bckm_2750,,,51.368326,-56.085556,,true
bckm_2749,,,51.561663,-55.405273,,true
bckm_2748,,,51.628603,-55.898056,,true
bckm_2747,,,50.687769,-57.378609,,true
bckm_2746,,,50.621935,-57.148056,,true
bckm_2745,,,49.674166,-57.948334,,true
bckm_2744,,,49.46361,-57.696388,,true
bckm_2743,,,49.390276,-58.223328,,true
bckm_2742,,,48.968882,-57.881668,,true
bckm_2741,,,49.13138,-58.396111,,true
bckm_2740,,,48.570833,-58.709442,,true
bckm_2739,,,48.613886,-58.958611,,true
bckm_2738,,,48.778879,-58.774719,,true
bckm_2737,,,48.476656,-59.261116,,true
bckm_2736,,,48.486658,-58.418335,,true
bckm_2735,,,47.889719,-59.406944,,true
bckm_2734,,,47.556383,-59.135559,,true
bckm_2733,,,47.521379,-56.840836,,true
bckm_2732,,,47.956942,-55.773613,,true
bckm_2731,,,47.657495,-55.917503,,true
bckm_2730,,,47.674715,-55.628334,,true
bckm_2729,,,47.497217,-56.172501,,true
bckm_2728,,,47.398607,-55.587776,,true
bckm_2727,,,47.781664,-54.936111,,true
bckm_2726,,,47.55694,-54.845833,,true
bckm_2725,,,46.952494,-55.983055,,true
bckm_2724,,,46.858332,-55.68972,,true
bckm_2723,,,47.603609,-54.418335,,true
bckm_2722,,,47.391665,-54.482773,,true
bckm_2721,,,47.8575,-54.195274,,true
bckm_2720,,,47.402773,-53.8675,,true
bckm_2719,,,46.819162,-54.187775,,true
bckm_2718,,,47.156099,-53.591385,,true
bckm_2717,,,46.644159,-53.617775,,true
bckm_2716,,,46.63666,-53.102501,,true
bckm_2715,,,47.516665,-52.614449,,true
bckm_2714,,,47.803049,-52.779442,,true
bckm_2713,,,47.413324,-53.121941,,true
bckm_2712,,,47.606104,-53.26722,,true
bckm_2711,,,48.101664,-52.83139,,true
bckm_2710,,,48.01333,-53.274445,,true
bckm_2709,,,47.529161,-53.550552,,true
bckm_2708,,,47.760553,-53.850555,,true
bckm_2707,,,48.051104,-53.60778,,true
bckm_2706,,,48.178881,-53.945274,,true
bckm_2705,,,48.604441,-52.97805,,true
bckm_2704,,,48.503263,-53.756367,,true
bckm_2703,,,48.359163,-54.138054,,true
bckm_2702,,,48.425829,-54.094444,,true
bckm_2701,,,48.503263,-53.756367,,true
bckm_2700,,,51.238886,-58.41333,,true
bckm_2699,,,51.274714,-58.419449,,true
bckm_2698,,,51.233332,-58.565002,,true
bckm_2697,,,51.238886,-58.41333,,true
bckm_2696,,,50.886385,-55.555557,,true
bckm_2695,,,50.981379,-55.535278,,true
bckm_2694,,,50.961382,-55.635277,,true
bckm_2693,,,50.886385,-55.555557,,true
bckm_2692,,,50.83777,-127.654715,,true
bckm_2691,,,50.908602,-127.726387,,true
bckm_2690,,,50.881662,-127.838608,,true
bckm_2689,,,50.83777,-127.654715,,true
bckm_2688,,,50.652773,-126.273064,,true
bckm_2687,,,50.827776,-126.266403,,true
bckm_2686,,,50.667772,-126.617493,,true
bckm_2685,,,50.652773,-126.273064,,true
bckm_2684,,,50.771936,-126.731377,,true
bckm_2683,,,50.799997,-126.563049,,true
bckm_2682,,,50.822771,-126.905838,,true
bckm_2681,,,50.771936,-126.731377,,true
bckm_2680,,,50.699717,-55.56472,,true
bckm_2679,,,50.798334,-55.450554,,true
bckm_2678,,,50.787218,-55.624718,,true
bckm_2677,,,50.699717,-55.56472,,true
bckm_2676,,,50.63611,-127.226936,,true
bckm_2675,,,50.769159,-128.416655,,true
bckm_2674,,,50.446695,-128.051422,,true
bckm_2673,,,50.587496,-127.411392,,true
bckm_2672,,,50.372766,-127.446953,,true
bckm_2671,,,50.46277,-127.923889,,true
bckm_2670,,,50.108889,-127.895844,,true
bckm_2669,,,50.096384,-127.15834,,true
bckm_2668,,,49.961939,-127.241379,,true
bckm_2667,,,49.852289,-127.121117,,true
bckm_2666,,,49.909159,-126.804443,,true
bckm_2665,,,49.878878,-126.679718,,true
bckm_2664,,,49.701105,-126.585007,,true
bckm_2663,,,49.66221,-126.087509,,true
bckm_2662,,,49.374437,-126.542221,,true
bckm_2661,,,49.435823,-125.904715,,true
bckm_2660,,,48.915827,-125.483612,,true
bckm_2659,,,49.240549,-124.80777,,true
bckm_2658,,,48.731104,-125.113892,,true
bckm_2657,,,48.413324,-123.289719,,true
bckm_2656,,,49.145548,-123.850563,,true
bckm_2655,,,49.143885,-123.699432,,true
bckm_2654,,,49.464159,-124.789436,,true
bckm_2653,,,50.32361,-125.449722,,true
bckm_2652,,,50.63611,-127.226936,,true
bckm_2651,,,50.691935,-126.64389,,true
bckm_2650,,,50.763613,-126.536392,,true
bckm_2649,,,50.75889,-126.685547,,true
bckm_2648,,,50.691935,-126.64389,,true
bckm_2647,,,50.663324,-126.873322,,true
bckm_2646,,,50.633883,-127.14473,,true
bckm_2645,,,50.62916,-126.831123,,true
bckm_2644,,,50.663324,-126.873322,,true
bckm_2643,,,50.533884,-59.345833,,true
bckm_2642,,,50.581942,-59.300278,,true
bckm_2641,,,50.652773,-59.371941,,true
bckm_2640,,,50.533884,-59.345833,,true
bckm_2639,,,50.57583,-126.4664,,true
bckm_2638,,,50.615831,-126.361389,,true
bckm_2637,,,50.602777,-126.554169,,true
bckm_2636,,,50.57583,-126.4664,,true
bckm_2635,,,50.555269,-126.22583,,true
bckm_2634,,,50.59833,-126.286118,,true
bckm_2633,,,50.533884,-126.623894,,true
bckm_2632,,,50.555269,-126.22583,,true
bckm_2631,,,50.355555,-125.426102,,true
bckm_2630,,,50.435549,-125.331947,,true
bckm_2629,,,50.381662,-125.528061,,true
bckm_2628,,,50.355555,-125.426102,,true
bckm_2627,,,50.393885,-125.543877,,true
bckm_2626,,,50.434435,-125.523903,,true
bckm_2625,,,50.397493,-125.763634,,true
bckm_2624,,,50.393885,-125.543877,,true
bckm_2623,,,50.413607,-125.80722,,true
bckm_2622,,,50.428049,-125.738052,,true
bckm_2621,,,50.433878,-125.951111,,true
bckm_2620,,,50.413607,-125.80722,,true
bckm_2619,,,50.374437,-125.165558,,true
bckm_2618,,,50.320833,-125.400284,,true
bckm_2617,,,50.316668,-125.213623,,true
bckm_2616,,,50.239161,-125.156113,,true
bckm_2615,,,50.12166,-125.140289,,true
bckm_2614,,,50.374437,-125.165558,,true
bckm_2613,,,50.302217,-124.730827,,true
bckm_2612,,,50.228876,-124.794998,,true
bckm_2611,,,50.157495,-124.695831,,true
bckm_2610,,,50.258333,-124.659439,,true
bckm_2609,,,50.302217,-124.730827,,true
bckm_2608,,,50.111383,-124.8125,,true
bckm_2607,,,50.178331,-124.756668,,true
bckm_2606,,,50.299723,-124.918327,,true
bckm_2605,,,50.111383,-124.8125,,true
bckm_2604,,,49.980822,-125.16777,,true
bckm_2603,,,50.21361,-125.167221,,true
bckm_2602,,,50.293612,-125.25473,,true
bckm_2601,,,50.268885,-125.339996,,true
bckm_2600,,,49.980822,-125.16777,,true
bckm_2599,,,50.197771,-63.859444,,true
bckm_2598,,,50.24222,-63.889725,,true
bckm_2597,,,50.229433,-63.930557,,true
bckm_2596,,,50.197771,-63.859444,,true
bckm_2595,,,50.058603,-124.924156,,true
bckm_2594,,,50.22555,-124.983322,,true
bckm_2593,,,50.1075,-125.066963,,true
bckm_2592,,,50.058603,-124.924156,,true
bckm_2591,,,49.583605,-126.676102,,true
bckm_2590,,,49.648333,-126.613327,,true
bckm_2589,,,49.825274,-126.678047,,true
bckm_2588,,,49.879717,-126.777496,,true
bckm_2587,,,49.831385,-126.940552,,true
bckm_2586,,,49.583605,-126.676102,,true
bckm_2585,,,49.386385,-62.089722,,true
bckm_2584,,,49.863611,-64.513901,,true
bckm_2583,,,49.228045,-63.089996,,true
bckm_2582,,,49.144442,-61.661667,,true
bckm_2581,,,49.386385,-62.089722,,true
bckm_2580,,,49.723322,-124.446114,,true
bckm_2579,,,49.796946,-124.656662,,true
bckm_2578,,,49.493608,-124.122772,,true
bckm_2577,,,49.723322,-124.446114,,true
bckm_2576,,,49.650827,-124.129707,,true
bckm_2575,,,49.775553,-124.016113,,true
bckm_2574,,,49.706102,-124.199432,,true
bckm_2573,,,49.650827,-124.129707,,true
bckm_2572,,,49.647493,-54.004448,,true
bckm_2571,,,49.750002,-54.141945,,true
bckm_2570,,,49.609995,-54.298889,,true
bckm_2569,,,49.647493,-54.004448,,true
bckm_2568,,,49.558603,-54.576668,,true
bckm_2567,,,49.664156,-54.536118,,true
bckm_2566,,,49.585268,-54.894447,,true
bckm_2565,,,49.558603,-54.576668,,true
bckm_2564,,,49.567499,-55.693054,,true
bckm_2563,,,49.6,-55.567505,,true
bckm_2562,,,49.635553,-55.659721,,true
bckm_2561,,,49.567499,-55.693054,,true
bckm_2560,,,49.480272,-124.689438,,true
bckm_2559,,,49.610552,-124.83168,,true
bckm_2558,,,49.539438,-124.823624,,true
bckm_2557,,,49.480272,-124.689438,,true
bckm_2556,,,49.506945,-55.695549,,true
bckm_2555,,,49.555269,-55.653053,,true
bckm_2554,,,49.557772,-55.722771,,true
bckm_2553,,,49.506945,-55.695549,,true
bckm_2552,,,49.441103,-123.332779,,true
bckm_2551,,,49.531939,-123.355003,,true
bckm_2550,,,49.522219,-123.436661,,true
bckm_2549,,,49.467211,-123.459442,,true
bckm_2548,,,49.441103,-123.332779,,true
bckm_2547,,,49.441103,-124.179169,,true
bckm_2546,,,49.50139,-124.24472,,true
bckm_2545,,,49.511942,-124.381104,,true
bckm_2544,,,49.441103,-124.179169,,true
bckm_2543,,,49.400545,-54.705275,,true
bckm_2542,,,49.463884,-54.640839,,true
bckm_2541,,,49.492495,-54.673058,,true
bckm_2540,,,49.437769,-54.759171,,true
bckm_2539,,,49.400545,-54.705275,,true
bckm_2538,,,49.326944,-123.37944,,true
bckm_2537,,,49.414995,-123.31221,,true
bckm_2536,,,49.381662,-123.420273,,true
bckm_2535,,,49.326944,-123.37944,,true
bckm_2534,,,49.393328,-126.131943,,true
bckm_2533,,,49.289721,-126.239166,,true
bckm_2532,,,49.250834,-126.064713,,true
bckm_2531,,,49.393328,-126.131943,,true
bckm_2530,,,49.125826,-125.816101,,true
bckm_2529,,,49.20833,-125.799156,,true
bckm_2528,,,49.21805,-125.93306,,true
bckm_2527,,,49.125826,-125.816101,,true
bckm_2526,,,48.861109,-123.322777,,true
bckm_2525,,,49.105555,-123.702499,,true
bckm_2524,,,48.944994,-123.540558,,true
bckm_2523,,,48.861109,-123.322777,,true
bckm_2522,,,48.709162,-123.474442,,true
bckm_2521,,,48.768328,-123.37027,,true
bckm_2520,,,48.946939,-123.596657,,true
bckm_2519,,,48.709162,-123.474442,,true
bckm_2518,,,48.148882,-53.712776,,true
bckm_2517,,,48.198328,-53.509726,,true
bckm_2516,,,48.182497,-53.935829,,true
bckm_2515,,,48.148882,-53.712776,,true
bckm_2514,,,47.899439,-64.567505,,true
bckm_2513,,,47.953325,-64.470551,,true
bckm_2512,,,48.027491,-64.501114,,true
